city_raw,state_abbr,adopt_by2012,mayor,pop_2003,violent_crime_2003,damage_2003,pre_label,source
"Garland, TX",TX,0.0,0.0,223061.0,329.5,103.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Scottsdale, AZ",AZ,0.0,0.0,220697.0,223.4,723.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Rochester, NY",NY,1.0,1.0,217527.0,935.1,84.0,adopted_by2012,O'Byrne (2015) Appendix A
"Madison, WI",WI,0.0,1.0,216441.0,357.6,178.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Akron, OH",OH,1.0,1.0,214622.0,607.1,321.0,adopted_by2012,O'Byrne (2015) Appendix A
"Henderson, NV",NV,0.0,0.0,212571.0,230.0,93.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Fort Wayne, IN",IN,1.0,1.0,211317.0,365.3,28.0,adopted_by2012,O'Byrne (2015) Appendix A
"Chesapeake, VA",VA,0.0,0.0,209294.0,599.6,63.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Fremont, CA",CA,0.0,0.0,209026.0,207.2,88.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Chandler, AZ",AZ,0.0,0.0,206620.0,302.0,723.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Lubbock, TX",TX,1.0,0.0,206441.0,1157.7,246.0,adopted_by2012,O'Byrne (2015) Appendix A
"Modesto, CA",CA,0.0,0.0,205691.0,685.0,2.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Montgomery, AL",AL,1.0,1.0,202064.0,646.8,19.0,adopted_by2012,O'Byrne (2015) Appendix A
"Glendale, CA",CA,0.0,0.0,201522.0,180.1,77.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Richmond, VA",VA,1.0,1.0,199968.0,1242.2,18.0,adopted_by2012,O'Byrne (2015) Appendix A
"Shreveport, LA",LA,0.0,1.0,199641.0,1029.8,86.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Tacoma, WA",WA,0.0,0.0,199586.0,1079.2,963.0,not_adopted_by2012,O'Byrne (2015) Appendix A
