city_raw,state_abbr,adopt_by2012,mayor,pop_2003,violent_crime_2003,damage_2003,pre_label,source
"Rancho Cucamonga, CA",CA,0.0,0.0,145219.0,212.1,1910.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Lakewood, CO",CO,0.0,0.0,145162.0,347.9,589.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Fontana, CA",CA,0.0,0.0,145114.0,618.1,78.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Hayward, CA",CA,0.0,0.0,144215.0,416.0,88.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Torrance, CA",CA,0.0,0.0,143101.0,280.9,77.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Salem, OR",OR,0.0,0.0,142501.0,360.7,9.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Eugene, OR",OR,0.0,0.0,141913.0,336.8,5.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Pasadena, CA",CA,0.0,0.0,141178.0,495.8,77.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Bridgeport, CT",CT,0.0,1.0,141030.0,968.6,29.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Hollywood, FL",FL,,,,,,unclear,O'Byrne (2015) Appendix A
"Pembroke Pines, FL",FL,,,,,,unclear,O'Byrne (2015) Appendix A
"North Las Vegas, NV",NV,0.0,0.0,140133.0,829.9,93.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Corona, CA",CA,0.0,0.0,139777.0,200.3,191.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Gilbert, AZ",AZ,0.0,0.0,138082.0,124.6,723.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Warren, MI",MI,0.0,1.0,138077.0,572.9,85.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Grand Prairie, TX",TX,0.0,0.0,137407.0,360.2,103.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Escondido, CA",CA,0.0,0.0,137334.0,430.3,2270.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Naperville, IL",IL,0.0,0.0,135958.0,,23.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Orange, CA",CA,0.0,0.0,132987.0,197.0,278.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Alexandria, VA",VA,0.0,0.0,132468.0,306.5,1.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Sioux Falls, SD",SD,0.0,0.0,131048.0,299.1,52.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Mesquite, TX",TX,0.0,0.0,130778.0,354.0,103.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Fullerton, CA",CA,0.0,0.0,130194.0,247.6,278.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Sunnyvale, CA",CA,0.0,0.0,131048.0,131.2,333.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Savannah, GA",GA,1.0,0.0,129547.0,828.3,18.0,adopted_by2012,O'Byrne (2015) Appendix A
"Concord, CA",CA,0.0,0.0,126539.0,314.5,134.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Sterling Heights, MI",MI,0.0,0.0,126517.0,203.1,85.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Peoria, AZ",AZ,0.0,0.0,126048.0,292.0,723.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Lancaster, CA",CA,0.0,0.0,125899.0,1008.7,77.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Fort Collins, CO",CO,0.0,0.0,125886.0,328.1,403.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Palmdale, CA",CA,0.0,0.0,125651.0,732.2,77.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Fayetteville, NC",NC,0.0,0.0,125587.0,979.4,140.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Hartford, CT",CT,1.0,0.0,125381.0,1444.4,16.0,adopted_by2012,O'Byrne (2015) Appendix A
"New Haven, CT",CT,0.0,1.0,124997.0,,4.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Elizabeth, NJ",NJ,0.0,1.0,123970.0,608.2,25.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Thousand Oaks, CA",CA,0.0,1.0,123987.0,162.1,19.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Cedar Rapids, IA",IA,0.0,0.0,122819.0,324.1,7903.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Topeka, KS",KS,0.0,1.0,122446.0,594.5,23.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Flint, MI",MI,0.0,1.0,122121.0,1215.2,46.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"El Monte, CA",CA,0.0,0.0,121176.0,602.4,77.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Coral Springs, FL",FL,,,,,,unclear,O'Byrne (2015) Appendix A
"Stamford, CT",CT,0.0,1.0,120642.0,224.6,29.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Vallejo, CA",CA,,,,,,unclear,O'Byrne (2015) Appendix A
"Evansville, IN",IN,0.0,1.0,119788.0,1162.9,33.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Joliet, IL",IL,0.0,0.0,118920.0,,40.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Lansing, MI",MI,0.0,1.0,118937.0,1025.8,41.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Columbia, SC",SC,1.0,1.0,118536.0,1138.9,6.0,adopted_by2012,O'Byrne (2015) Appendix A
"Simi Valley, CA",CA,0.0,0.0,117785.0,139.2,79.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Waco, TX",TX,0.0,0.0,117549.0,688.2,20.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Abilene, TX",TX,0.0,0.0,117016.0,441.8,57.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Carrollton, TX",TX,0.0,0.0,116897.0,203.6,103.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Inglewood, CA",CA,0.0,0.0,116165.0,939.2,77.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"McAllen, TX",TX,0.0,0.0,115647.0,442.7,36.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Ann Arbor, MI",MI,0.0,0.0,115552.0,258.8,21.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Cape Coral, FL",FL,0.0,0.0,114966.0,271.4,1473.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Beaumont, TX",TX,0.0,0.0,114626.0,916.9,592.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Bellevue, WA",WA,0.0,0.0,114056.0,143.8,1012.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Peoria, IL",IL,0.0,0.0,113143.0,,93.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Independence, MO",MO,0.0,0.0,113663.0,666.0,40.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"West Valley City, UT",UT,0.0,0.0,112945.0,418.8,255.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Springfield, IL",IL,0.0,1.0,112304.0,,45.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Amherst, NY",NY,0.0,0.0,111945.0,107.2,107.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Lafayette, LA",LA,0.0,1.0,111612.0,952.4,488.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Costa Mesa, CA",CA,0.0,0.0,111281.0,273.2,278.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Downey, CA",CA,0.0,0.0,110992.0,455.0,77.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Clearwater, FL",FL,0.0,0.0,110296.0,1053.5,178.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Manchester, NH",NH,0.0,1.0,109472.0,275.0,37.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"West Covina, CA",CA,0.0,0.0,108824.0,363.0,77.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Waterbury, CT",CT,0.0,1.0,108596.0,442.9,4.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Norwalk, CA",CA,0.0,0.0,107197.0,643.7,77.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"South Bend, IN",IN,0.0,1.0,107191.0,716.5,12.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Provo, UT",UT,0.0,1.0,106769.0,110.5,25.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Clarksville, TN",TN,0.0,1.0,106710.0,641.0,109.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Allentown, PA",PA,0.0,1.0,106366.0,602.6,33.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Lowell, MA",MA,0.0,0.0,104995.0,824.8,83.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Berkeley, CA",CA,1.0,0.0,104727.0,884.2,88.0,adopted_by2012,O'Byrne (2015) Appendix A
"Ventura, CA",CA,0.0,0.0,104706.0,249.3,19.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Westminster, CO",CO,0.0,0.0,104614.0,,196.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Pueblo, CO",CO,0.0,0.0,104424.0,782.4,166.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Athens-Clarke County, GA (City portion)",GA,0.0,0.0,104313.0,371.0,3.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Burbank, CA",CA,0.0,0.0,103993.0,272.1,77.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Richmond, CA",CA,0.0,0.0,103629.0,1040.2,134.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Arvada, CO",CO,0.0,1.0,103191.0,172.5,196.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Daly City, CA",CA,0.0,0.0,102970.0,334.1,176.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Santa Clara, CA",CA,0.0,0.0,102936.0,245.8,333.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Erie, PA",PA,0.0,1.0,102373.0,436.6,74.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Green Bay, WI",WI,0.0,1.0,102095.0,448.6,1.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Fairfield, CA",CA,,,,,,unclear,O'Byrne (2015) Appendix A
"Cambridge, MA",MA,0.0,0.0,101896.0,503.5,83.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Olathe, KS",KS,0.0,0.0,101698.0,,19.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Portsmouth, VA",VA,0.0,0.0,101060.0,892.5,6.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Antioch, CA",CA,0.0,0.0,100918.0,707.5,134.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Port St. Lucie, FL",FL,0.0,0.0,100342.0,280.0,1152.0,not_adopted_by2012,O'Byrne (2015) Appendix A
