GEOID,place_name,state_abbr,state_name,pop_2020,pop_2021,pop_2022,pop_2023,lat,lon,land_area_sqmi,place_type,funcstat
0648354,Modesto city,CA,California,218691,218827,218344,218915,37.637533,-121.003049,43.358,25,A
0137000,Huntsville city,AL,Alabama,216407,218778,222030,225564,34.69772,-86.67667,223.633,25,A
1921000,Des Moines city,IA,Iowa,213826,212625,211048,210381,41.57259,-93.610243,88.162,25,A
3684000,Yonkers city,NY,New York,210994,210075,208406,207657,40.945862,-73.867446,18.006,25,A
3663000,Rochester city,NY,New York,210862,210581,208546,207274,43.169927,-77.616891,35.761,25,A
0624680,Fontana city,CA,California,209177,212489,214317,215465,34.109686,-117.462888,43.278,25,A
3722920,Fayetteville city,NC,North Carolina,209170,210527,209321,209749,35.082766,-78.973515,148.266,25,A
0649270,Moreno Valley city,CA,California,208868,211072,211648,212392,33.923253,-117.205685,51.31,25,A
1319000,Columbus city,GA,Georgia,207006,205060,202432,201877,32.510197,-84.874946,216.5,25,A
1258715,Port St. Lucie city,FL,Florida,206815,217864,231852,245021,27.280554,-80.388261,119.216,25,A
2582000,Worcester city,MA,Massachusetts,205056,205839,205676,207621,42.269478,-71.807783,37.36,25,A
4827684,Frisco city,TX,Texas,202754,211102,219641,225007,33.155427,-96.822596,68.587,25,A
0541000,Little Rock city,AR,Arkansas,202634,202229,203176,203842,34.725393,-92.358556,120.281,25,A
0654652,Oxnard city,CA,California,201911,201807,200193,198488,34.199436,-119.207515,26.545,25,A
4967000,Salt Lake City city,UT,Utah,200660,201125,207677,209593,40.776928,-111.930991,110.891,25,A
4803000,Amarillo city,TX,Texas,200526,200798,201366,202408,35.198064,-101.833107,103.615,25,A
0107000,Birmingham city,AL,Alabama,200375,197875,196887,196644,33.527174,-86.797036,147.07,25,A
0151000,Montgomery city,AL,Alabama,200041,198460,196944,195287,32.348503,-86.267307,159.857,25,A
2634000,Grand Rapids city,MI,Michigan,198707,197708,197192,196608,42.961156,-85.65557,44.776,25,A
0636000,Huntington Beach city,CA,California,198405,196427,194195,192129,33.698007,-118.003834,26.982,25,A
1270600,Tallahassee city,FL,Florida,197933,200233,201718,202221,30.453529,-84.252272,102.428,25,A
2053775,Overland Park city,KS,Kansas,197734,197610,197705,197089,38.889042,-94.690584,75.218,25,A
4845744,McKinney city,TX,Texas,197497,203479,207603,213509,33.201125,-96.664161,66.963,25,A
4830464,Grand Prairie city,TX,Texas,196255,197345,201539,202134,32.686108,-97.020804,72.512,25,A
0630000,Glendale city,CA,California,195934,192153,189175,187050,34.181393,-118.24583,30.479,25,A
1210275,Cape Coral city,FL,Florida,195422,204023,216915,224455,26.643192,-81.997364,106.123,25,A
4659020,Sioux Falls city,SD,South Dakota,193437,196807,202016,206410,43.540696,-96.731962,82.671,25,A
0454050,Peoria city,AZ,Arizona,191997,194981,197786,198750,33.786186,-112.308042,176.697,25,A
4740000,Knoxville city,TN,Tennessee,191446,192718,196748,198162,35.97068,-83.94927,98.732,25,A
5374060,Vancouver city,WA,Washington,191278,192770,194500,196442,45.637156,-122.596567,48.748,25,A
4459000,Providence city,RI,Rhode Island,190745,190169,189567,190792,41.823056,-71.418784,18.406,25,A
3901000,Akron city,OH,Ohio,190146,188619,188472,188701,41.080456,-81.521429,61.933,25,A
4810768,Brownsville city,TX,Texas,187004,187737,189236,190158,25.995689,-97.450848,131.796,25,A
2270000,Shreveport city,LA,Louisiana,186848,183269,180086,177959,32.466879,-93.792193,108.145,25,A
0150000,Mobile city,AL,Alabama,186621,185176,183290,182595,30.668426,-88.100226,139.482,25,A
5156000,Newport News city,VA,Virginia,186047,184691,183980,183118,37.076136,-76.52198,68.996,25,A
0473000,Tempe city,AZ,Arizona,185328,184690,189520,189834,33.388414,-111.931782,39.981,25,A
1224000,Fort Lauderdale city,FL,Florida,182892,181997,183118,184255,26.141227,-80.146731,34.582,25,A
4714000,Chattanooga city,TN,Tennessee,181568,181167,184038,187030,35.065958,-85.248386,142.352,25,A
1703012,Aurora city,IL,Illinois,180215,179397,177931,177563,41.763455,-88.290099,45.051,25,A
0670098,Santa Rosa city,CA,California,177959,177412,176078,175845,38.445824,-122.706181,42.536,25,A
4123850,Eugene city,OR,Oregon,177428,178013,177873,177899,44.056848,-123.119019,44.449,25,A
0622020,Elk Grove city,CA,California,176569,177964,178009,178444,38.414621,-121.384961,42.601,25,A
4164900,Salem city,OR,Oregon,175942,178171,177523,177432,44.9239,-123.023007,48.931,25,A
0653896,Ontario city,CA,California,175712,178272,180500,182457,34.037648,-117.604433,49.984,25,A
3710740,Cary town,NC,North Carolina,174778,176886,179867,180010,35.781302,-78.823444,60.128,43,A
0659451,Rancho Cucamonga city,CA,California,174683,175359,174989,174405,34.130306,-117.566067,46.51,25,A
0653322,Oceanside city,CA,California,173965,172916,171408,170020,33.224601,-117.306291,41.268,25,A
0640130,Lancaster city,CA,California,173094,170000,167815,166236,34.693558,-118.175305,94.282,25,A
0629000,Garden Grove city,CA,California,171863,170741,169398,168234,33.778782,-117.960472,17.953,25,A
1255775,Pembroke Pines city,FL,Florida,171073,169627,169864,171119,26.014716,-80.340171,32.681,25,A
0827425,Fort Collins city,CO,Colorado,169982,169279,170114,170376,40.548216,-105.064833,57.234,25,A
2970000,Springfield city,MO,Missouri,169177,169253,170028,170188,37.194157,-93.292642,83.206,25,A
0655156,Palmdale city,CA,California,168895,165508,162975,161404,34.591038,-118.105403,106.064,25,A
4715160,Clarksville city,TN,Tennessee,167509,170824,176747,180716,36.56643,-87.345216,99.746,25,A
0664224,Salinas city,CA,California,163391,162894,160720,159506,36.690217,-121.633793,23.515,25,A
0633000,Hayward city,CA,California,162666,158375,156371,155675,37.626826,-122.104015,45.818,25,A
3457000,Paterson city,NJ,New Jersey,159323,158075,156470,156452,40.914766,-74.162829,8.413,25,A
5101000,Alexandria city,VA,Virginia,159139,155105,155045,155230,38.819251,-77.08367,14.935,25,A
0616350,Corona city,CA,California,157468,159433,159803,160238,33.861969,-117.565495,39.892,25,A
1349008,Macon-Bibb County,GA,Georgia,157035,155980,156126,156512,32.808845,-83.694194,249.383,00,A
2036000,Kansas City city,KS,Kansas,156298,154763,153238,152933,39.122539,-94.741781,124.737,25,A
0843000,Lakewood city,CO,Colorado,156247,157060,156001,155961,39.698939,-105.117573,43.458,25,A
2567000,Springfield city,MA,Massachusetts,155280,154993,154007,153672,42.115454,-72.539978,31.87,25,A
0677000,Sunnyvale city,CA,California,155250,152477,151682,151967,37.385797,-122.026316,22.06,25,A
4751560,Murfreesboro city,TN,Tennessee,153757,156671,162402,165430,35.853915,-86.421224,64.277,25,A
4839148,Killeen city,TX,Texas,153735,157018,159231,159643,31.077669,-97.731952,54.628,25,A
2836000,Jackson city,MS,Mississippi,152997,149700,145883,143709,32.315834,-90.21285,111.685,25,A
1232000,Hollywood city,FL,Florida,152802,152412,152630,153859,26.030967,-80.164609,27.251,25,A
5305210,Bellevue city,WA,Washington,151780,149852,152745,151574,47.597837,-122.15648,33.468,25,A
4856000,Pasadena city,TX,Texas,151368,148700,147707,146716,29.654996,-95.151055,43.69,25,A
0622804,Escondido city,CA,California,151014,150169,149034,148122,33.133053,-117.074043,37.348,25,A
0658072,Pomona city,CA,California,150984,147109,146333,145502,34.058494,-117.761091,22.984,25,A
4513330,Charleston city,SC,South Carolina,150872,151893,153745,155369,32.828017,-79.972896,115.053,25,A
1738570,Joliet city,IL,Illinois,150251,150627,150156,150489,41.517701,-88.148846,66.123,25,A
4847892,Mesquite city,TX,Texas,149627,147722,147646,147317,32.75955,-96.584164,49.102,25,A
1751622,Naperville city,IL,Illinois,149419,149505,150024,150245,41.749173,-88.162019,39.157,25,A
1765000,Rockford city,IL,Illinois,148670,147745,146646,146120,42.258836,-89.064553,65.084,25,A
0662938,Roseville city,CA,California,148516,152575,155940,159135,38.770296,-121.319634,44.087,25,A
0908000,Bridgeport city,CT,Connecticut,147717,148157,148094,148028,41.187393,-73.195757,16.064,25,A
1369000,Savannah city,GA,Georgia,147456,146458,147980,147748,32.018043,-81.196492,108.888,25,A
3673000,Syracuse city,NY,New York,146726,145790,146230,145560,43.040998,-76.143554,25.059,25,A
0680000,Torrance city,CA,California,146442,143322,140901,139224,33.830453,-118.356618,20.516,25,A
0471510,Surprise city,AZ,Arizona,144407,149312,154149,158285,33.670801,-112.452546,110.505,25,A
0628000,Fullerton city,CA,California,143267,140193,140390,139250,33.885716,-117.928025,22.42,25,A
4845384,McAllen city,TX,Texas,142404,143755,144582,146593,26.224966,-98.246083,62.333,25,A
1225175,Gainesville city,FL,Florida,142245,144053,145276,145812,29.679537,-82.346793,63.986,25,A
0877290,Thornton city,CO,Colorado,142185,142925,143247,144922,39.920433,-104.941413,36.504,25,A
0682954,Visalia city,CA,California,141771,142862,143714,144998,36.32803,-119.328519,38.171,25,A
2052575,Olathe city,KS,Kansas,141586,143432,145577,147461,38.882031,-94.820054,62.453,25,A
4819972,Denton city,TX,Texas,141107,147199,150435,158349,33.217449,-97.141346,96.922,25,A
4876000,Waco city,TX,Texas,140541,142334,143238,144816,31.557994,-97.18975,91.005,25,A
4983470,West Valley City city,UT,Utah,139973,139052,136595,134470,40.688493,-112.011759,35.827,25,A
0653980,Orange city,CA,California,139451,137838,138003,138337,33.786971,-117.861265,25.667,25,A
2684000,Warren city,MI,Michigan,139122,138336,137125,136655,42.492904,-83.025001,34.377,25,A
0656000,Pasadena city,CA,California,138462,136290,134492,133560,34.160602,-118.137954,22.96,25,A
1912000,Cedar Rapids city,IA,Iowa,137758,136874,136392,135958,41.96585,-91.678901,74.162,25,A
3921000,Dayton city,OH,Ohio,137496,136839,135828,135512,39.784743,-84.199632,55.812,25,A
5135000,Hampton city,VA,Virginia,137280,137760,137858,137098,37.047961,-76.297293,51.461,25,A
3421000,Elizabeth city,NJ,New Jersey,136677,135520,135045,135829,40.666367,-74.193503,12.319,25,A
5335415,Kent city,WA,Washington,136592,135235,134429,133378,47.38797,-122.212727,33.833,25,A
4516000,Columbia city,SC,South Carolina,136195,136436,139676,142416,34.040519,-80.906099,138.264,25,A
0973000,Stamford city,CT,Connecticut,135462,136604,136084,136226,41.079611,-73.54608,37.628,25,A
0682590,Victorville city,CA,California,134638,136078,137430,138869,34.527735,-117.353579,73.71,25,A
1245975,Miramar city,FL,Florida,134516,135367,137192,138319,25.972529,-80.338582,28.853,25,A
1214400,Coral Springs city,FL,Florida,134168,133130,133357,134906,26.270722,-80.259301,22.864,25,A
2676460,Sterling Heights city,MI,Michigan,134059,133303,132476,133306,42.581206,-83.030316,36.447,25,A
4813024,Carrollton city,TX,Texas,133552,133548,133784,132918,32.989386,-96.89994,36.654,25,A
4848072,Midland city,TX,Texas,132890,131543,134457,138397,32.024642,-102.113467,75.982,25,A
0952000,New Haven city,CT,Connecticut,129757,134554,134932,135319,41.310809,-72.924953,18.69,25,A
0669084,Santa Clara city,CA,California,128588,128496,128859,131062,37.364621,-121.967973,18.277,25,A
4052500,Norman city,OK,Oklahoma,128161,129065,129579,130046,35.240569,-97.345299,178.647,25,A
0678582,Thousand Oaks city,CA,California,126824,126118,124529,123463,34.19329,-118.874235,55.257,25,A
2071000,Topeka city,KS,Kansas,126437,126160,125499,125475,39.03468,-95.694825,61.661,25,A
4842508,Lewisville city,TX,Texas,126422,127219,131276,133553,33.050725,-96.974623,40.657,25,A
